Name,Indian rupee
9/15/1980,5195.95
9/16/1980,5192.01
9/17/1980,5239.73
9/18/1980,5228.49
9/19/1980,5231.27
9/22/1980,5375.06
9/23/1980,5587.25
9/24/1980,5513.09
9/25/1980,5467.41
9/26/1980,5413.61
9/29/1980,5325.98
9/30/1980,5211.3
10/1/1980,5267.79
10/2/1980,5249.43
10/3/1980,5202.82
10/6/1980,5185.5
10/7/1980,5265.47
10/8/1980,5223.45
10/9/1980,5273.95
10/10/1980,5276.01
10/13/1980,5254.99
10/14/1980,5211.22
10/15/1980,5230.4
10/16/1980,5187.96
10/17/1980,5145.15
10/20/1980,5075.8
10/21/1980,5026.99
10/22/1980,5079.07
10/23/1980,4986.73
10/24/1980,4856.16
10/27/1980,4893.87
10/28/1980,4869.01
10/29/1980,4954.28
10/30/1980,4955.7
10/31/1980,4911.2
11/3/1980,4864.65
11/4/1980,4977.53
11/5/1980,5045.7
11/6/1980,4903.26
11/7/1980,4644.88
11/10/1980,4787
11/11/1980,4656.62
11/12/1980,4723.74
11/13/1980,4737.44
11/14/1980,4764.94
11/17/1980,4712.37
11/18/1980,4615.67
11/19/1980,4912.33
11/20/1980,4930.16
11/21/1980,5008.56
11/24/1980,4993.74
11/25/1980,4795.56
11/26/1980,4882.58
11/27/1980,4844.76
11/28/1980,4871.92
12/1/1980,4990.41
12/2/1980,4945.45
12/3/1980,4945.17
12/4/1980,4988.28
12/5/1980,4893.55
12/8/1980,4846.85
12/9/1980,4841.07
12/10/1980,4691.77
12/11/1980,4572.94
12/12/1980,4366.03
12/15/1980,4588.74
12/16/1980,4444.58
12/17/1980,4530.23
12/18/1980,4575.87
12/19/1980,4423.58
12/22/1980,4692.4
12/23/1980,4742.89
12/24/1980,4739.7
12/25/1980,4739.7
12/26/1980,4739.7
12/29/1980,4759.57
12/30/1980,4609.43
12/31/1980,4620.33
1/1/1981,4620.33
1/2/1981,4648.5
1/5/1981,4604.66
1/6/1981,4705.55
1/7/1981,4647.04
1/8/1981,4540.33
1/9/1981,4603.13
1/12/1981,4471.73
1/13/1981,4507.24
1/14/1981,4461.92
1/15/1981,4494.8
1/16/1981,4474.68
1/19/1981,4421.78
1/20/1981,4444.65
1/21/1981,4561.23
1/22/1981,4532.77
1/23/1981,4401.75
1/26/1981,4197.28
1/27/1981,4154.43
1/28/1981,4187.03
1/29/1981,4063.94
1/30/1981,4123.21
2/2/1981,4024.97
2/3/1981,4034.72
2/4/1981,4071.8
2/5/1981,4040.87
2/6/1981,4111.96
2/9/1981,4180.73
2/10/1981,4217.49
2/11/1981,4111.03
2/12/1981,4056.8
2/13/1981,4018.13
2/16/1981,4006.9
2/17/1981,4096.48
2/18/1981,4120.69
2/19/1981,4118.75
2/20/1981,4219.94
2/23/1981,4218.02
2/24/1981,4167.66
2/25/1981,4204.24
2/26/1981,4100.68
2/27/1981,4082.88
3/2/1981,3895.23
3/3/1981,3807.79
3/4/1981,3919.37
